Cleaned_Text,Score
"` respond , go",0
soo sad miss san diego ! !,-1
boss bully ..,-1
interview ! leave alone,-1
"son * * , ` put release already buy",-1
- shameless plug good ranger forum earth,0
2 be feeding baby fun smile coo,1
soo high,0
,0
journey ! ? wow .. become cool . hehe .. ( possible ! ? ),1
"much love hopeful , reckon chance minimal = p ` never go to get cake stuff",0
really really like song love story taylor swift,1
sharpie run dangerously low ink,-1
want go music tonight lose voice .,-1
test test lg env2,0
"uh oh , sunburned",-1
"` ok , try plot alternative speak * sigh *",-1
"` sick past day thus , hair look wierd . do not hat would look ..",-1
back home go to miss every one,-1
he s not,0
"oh marly , ` sorry ! ! hope find soon ! ! < 3 < 3",0
play ghost online really interesting . new update kirin pet metamorph third job . ` wait dragon pet,1
clean house family comme later today ..,0
get to restart computer .. think win7 suppose put end constant rebootiness,0
see wat mean bout foll0w friiday .. ` call lose f0llowers friday .. shake head,0
"free fillin ` app ipod fun , I m addicted",1
` sorry .,-1
way malaysia .. no internet access twit,-1
juss come backk berkeleyy ; oh god madd fun have not minute . whassqoodd ?,1
go sleep power cut noida power back not work,-1
` go home . see new twitter design ? quite .. heavenly ` * * ?,1
hope unni make audition . fight dahye unni !,1
consolation get bmi tested hahaha say obese well much unhappy 10 minute .,-1
` funny . cute kid .,1
"ahh , sleep game . ` go to try good watch tomorrow though . hope play army .",0
"that s , end . tear fear vs eric prydz , dj hero",0
bear raise nyc living texas past 10 year ! still miss ny,-1
"case wonder , really busy today come add ton new blog update stay tune",0
` soo sleepy ! ! last day ` school today .. sniffle ..,-1
"little happy wine jeje ok ` sm free time care , jaja love day",1
"car not happy , big big dent boot ! hop they re not go write , cross finger wait",0
I m avid fan * * magazine love magazine,1
mayday ? !,0
"ratt rock nashville tonite .. one thing suck , no encore ! like 80 ` still fun show . pearcy hott bad boy look",0
love ! ` available 5 pm . dear ? would love help convert vids.ï¿½,1
girl hair salon ask ' shall trim eyebrow ! ' old feel ?,0
egh blah boo dunno wan na go work hangover suckk I m drunk mess !,-1
: visit friendster facebook,0
"donbt like peel prawn , also do not like go shop , run money crawl round car look",-1
case ? get new one last week ` not thrill mine .,-1
check connect tweeple hate twitter,0
"also bored school , third freelesson ( freistunde )",0
hm .. we guess ..,0
* * .. u dissappointe past day,-1
romance zero funny,1
` rather early run .. morning runner,0
bah coworker run work late bag smack knee really hurt,-1
back later .,0
fun speak ?,0
"lose friend , ` alone sleepy .. wan na go home",-1
haha yes,0
give easily,-1
well way spoil mum let kick back relax nice meal bottle favorite wine ? wine red,1
mann .. _ get iphone ! ! I m jealous ..,-1
photoshoot .,0
` awesome .. work ? ` good friend .,1
yay playing show tonight ! boo ` go to soggy ` work right playing,0
chilliin,1
"know agent , let know",0
celtic - laker rematch sound well ` think ? laugh loud,1
"anyone extra keane ticket ? promise buy drink take rad pics fb / blog / flickr . , etc",0
"' you ride one , catch one , not summer til pop open one ' ?",0
good ! gor - juz yea kno ask yesterday tha hospital talk say no,0
ok - ` . pop say hi check thing . ` probably head guttah later tonight,0
"wow , really missin fam ( ily ) today . badd .",-1
source say no,0
soo tired,-1
"hey , change twitter account , ` even tell ..",0
thank yyoouu !,1
lucky kid .. wan na see loserville pity I m oz ..,1
fall asleep waiting ride !,0
sick . flu like thing .,-1
"still no reply simfinger problem no irape parody video get response , sorry guy",-1
happy star war day everyone ! enjoy holiday ( uk ),1
mile ` essex give plenty warning arrive time get least one free beer .,0
"snore annoying n keep sleep ( like right , lol ) honestly wud miss eva leave love .",0
miss bby wish go tomorrow make good .,-1
well I m work ` quite ready post publicly ( still beta testing ) cool new script cod,1
sweet - san fran awesome ! ! love,1
_ mounce yes last way past bedtime !,0
hi ? ? * join twitter .. *,0
wait sleep pill kick .. go to tired work tomorrow,-1
eat ice cream get ready graduation .,0
happy mother day mum,1
"casey ` go ? ! ? ! ? ! , piddle little carpet . ` prolly freak cause ` new . get back ?",-1
hemp cloth marvelous unfortunately no,-1
go to read story bout adam lambert online bed . nighty night,0
see none 3d - baddie ` good,1
4 am . I m beach . pretty,1
"certainly not cheer , huh ?",0
"1 week post my'horrible , traumatic jump cholla accident . ' -cholla ` next dirty trick : piece start emerge hand ! ouch !",-1
realy want go cause nice everybodys busy,-1
awesome . ` ocean beach ( know . ) way . ' yourbiggestfan ' ` re - al big fan you - rs .,1
least get watch time let ` go pen ! !,0
cool wear black time go,0
haha not know work blip apart obvious ! thank reblippe song nice day * *,1
safe trip joshy poo .. ` knock dead speech,1
"woof , wish allow go",1
friendster add ! ! email adress add loco_crime_1st.com add leave comment,0
ticket .. ?,0
